City,Country,IATA,CA,MU,CZ,HU
Mianyang,"People's Republic of China",MIG,yes,NULL,yes,NULL
Milan,Italy,MXP,yes,NULL,yes,NULL
Minsk,Belarus,MSQ,yes,NULL,NULL,NULL
Mohe,"People's Republic of China",OHE,NULL,NULL,yes,NULL
Montreal,Canada,YUL,yes,NULL,NULL,NULL
Moscow,Russia,SVO,yes,yes,yes,yes
Moscow,Russia,DME,NULL,yes,NULL,NULL
Muan,"South Korea",MWX,NULL,NULL,yes,NULL
Mudanjiang,"People's Republic of China",MDG,yes,yes,yes,yes
Mumbai,India,BOM,yes,yes,NULL,NULL
Munich,Germany,MUC,yes,yes,NULL,NULL
Nagasaki,Japan,NGS,yes,yes,NULL,NULL
Naha,Japan,OKA,yes,yes,NULL,yes
"Nairobi *",Kenya,NBO,NULL,NULL,yes,NULL
Nanchang,"People's Republic of China",KHN,yes,yes,yes,yes
Nanchong,"People's Republic of China",NAO,NULL,yes,yes,NULL
Nanjing,"People's Republic of China",NKG,yes,yes,yes,yes
Nanning,"People's Republic of China",NNG,yes,yes,yes,yes
Nantong,"People's Republic of China",NTG,yes,yes,yes,NULL
Nanyang,"People's Republic of China",NNY,NULL,NULL,yes,NULL
Naypyidaw,Myanmar,NPT,NULL,yes,NULL,NULL
"New York City","United States",JFK,yes,yes,yes,NULL
Ngari,"People's Republic of China",NGQ,yes,yes,NULL,NULL
Niigata,Japan,KIJ,NULL,yes,yes,NULL
Ningbo,"People's Republic of China",NGB,yes,yes,yes,yes
Novosibirsk,Russia,OVB,NULL,NULL,yes,yes
Nyingchi,"People's Republic of China",LZY,yes,NULL,NULL,NULL
Oita,Japan,OIT,NULL,yes,NULL,NULL
Okayama,Japan,OKJ,NULL,yes,NULL,NULL
Okinawa,Japan,OKA,yes,yes,NULL,yes
Omsk,Russia,OMS,yes,NULL,NULL,NULL
Ordos,"People's Republic of China",DSN,yes,yes,yes,yes
Osaka,Japan,KIX,yes,yes,yes,yes
Osh,Kyrgyzstan,OSS,NULL,NULL,yes,NULL
Panzhihua,"People's Republic of China",PZI,yes,NULL,NULL,NULL
Paris,France,CDG,yes,yes,yes,yes
Penang,Malaysia,PEN,NULL,yes,yes,NULL
Perth,Australia,PER,NULL,NULL,yes,NULL
"Phnom Penh",Cambodia,PNH,NULL,yes,yes,NULL
Phuket,Thailand,HKT,yes,yes,yes,yes
"Port Louis",Mauritius,MRU,NULL,NULL,yes,NULL
Pu'er,"People's Republic of China",SYM,NULL,yes,NULL,NULL
Pyongyang,"North Korea",FNJ,yes,NULL,yes,NULL
Qamdo,"People's Republic of China",BPX,yes,NULL,NULL,NULL
Qianjiang,"People's Republic of China",JIQ,NULL,yes,yes,NULL
Qingdao,"People's Republic of China",TAO,yes,yes,yes,yes
Qingyang,"People's Republic of China",IQN,NULL,NULL,NULL,yes
Qinhuangdao,"People's Republic of China",SHP,NULL,yes,NULL,NULL
Qiqihar,"People's Republic of China",NDG,yes,yes,yes,yes
Quanzhou,"People's Republic of China",JJN,NULL,NULL,NULL,yes
Rome,Italy,FCO,yes,yes,NULL,NULL
"Saint Petersburg",Russia,LED,yes,NULL,NULL,yes
Saipan,"Northern Mariana Islands",SPN,NULL,yes,yes,NULL
"San Francisco","United States",SFO,yes,yes,yes,NULL
"San Jose","United States",SJC,NULL,NULL,NULL,yes
Sanya,"People's Republic of China",SYX,yes,yes,yes,yes
Sapporo,Japan,CTS,yes,yes,yes,NULL
Seattle,"United States",SEA,NULL,yes,NULL,yes
Sendai,Japan,SDJ,yes,yes,yes,NULL
Seoul,Korea,ICN,yes,yes,yes,NULL
Seoul,Korea,GMP,yes,yes,yes,NULL
Seoul,"South Korea",ICN,yes,yes,yes,NULL
Seoul,"South Korea",GMP,yes,yes,yes,NULL
Shanghai,"People's Republic of China",SHA,yes,yes,yes,yes
Shanghai,"People's Republic of China",PVG,yes,yes,yes,yes
Shantou,"People's Republic of China",SWA,yes,yes,yes,yes
Sharjah,"United Arab Emirates",SHJ,yes,NULL,yes,NULL
Shennongjia,"People's Republic of China",HPG,NULL,yes,NULL,NULL
Shenyang,"People's Republic of China",SHE,yes,yes,yes,yes
Shenzhen,"People's Republic of China",SZX,yes,yes,yes,yes
Shigatse,"People's Republic of China",RKZ,yes,NULL,NULL,NULL
Shijiazhuang,"People's Republic of China",SJW,NULL,yes,yes,yes
Shiquanhe,"People's Republic of China",NGQ,yes,yes,NULL,NULL
Shizuoka,Japan,FSZ,yes,yes,yes,NULL
